Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,__amd_rocclr_fillBufferAligned.kd,2,0,0,282893,282893,256,256,0,0,8,8,32,64,0x0,0x7fed661b5900,35067,35067,4,21,67,8604,608020124605408,608022598049928,608022598057448,608020132597615
1,__amd_rocclr_fillBufferAligned.kd,2,0,1,282893,282893,256,256,0,0,8,8,32,64,0x0,0x7fed661b5900,13328,13328,4,21,16,1872,608020132472639,608022598057448,608022598064648,608020132829123
2,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<256, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 32, 512, 4, 2, 32, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,2,282893,282893,59136,256,1024,0,112,112,32,64,0x0,0x7fed66164ec0,50676,50676,924,208362,196546,25195148,608020133145081,608022598587684,608022598612964,608020133259056
3,__amd_rocclr_fillBufferAligned.kd,2,0,4,282893,282893,256,256,0,0,8,8,32,64,0x0,0x7fed661b5900,36461,36461,4,21,44,6212,608020138363411,608022603809582,608022603819022,608020138487827
4,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<256, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 32, 512, 4, 2, 32, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,5,282893,282893,59136,256,1024,0,112,112,32,64,0x0,0x7fed66164ec0,54103,54103,924,208362,203028,25974628,608020138459583,608022603819022,608022603842702,608020138594659
5,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<256, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 32, 512, 4, 2, 32, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,8,282893,282893,59136,256,1024,0,112,112,32,64,0x0,0x7fed66164ec0,31870,31870,924,208362,26113,3333864,608020138600660,608022603868621,608022603881261,608020138755663
6,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<256, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 32, 512, 4, 2, 32, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,9,282893,282893,59136,256,1024,0,112,112,32,64,0x0,0x7fed66164ec0,30892,30892,924,208362,26030,3334104,608020138734573,608022603881261,608022603891021,608020138838069
7,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<256, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 32, 512, 4, 2, 32, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,10,282893,282893,59136,256,1024,0,112,112,32,64,0x0,0x7fed66164ec0,29062,29062,924,208362,26207,3333932,608020138797863,608022603891021,608022603900621,608020139005175
8,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<256, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 32, 512, 4, 2, 32, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,11,282893,282893,59136,256,1024,0,112,112,32,64,0x0,0x7fed66164ec0,34628,34628,924,208362,26024,3333916,608020138986269,608022603900621,608022603910221,608020139084084
9,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<256, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 32, 512, 4, 2, 32, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,12,282893,282893,59136,256,1024,0,112,112,32,64,0x0,0x7fed66164ec0,29935,29935,924,208362,26105,3333928,608020139051162,608022603910221,608022603919821,608020139226374
