Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,__amd_rocclr_fillBufferAligned.kd,2,0,0,3858262,3858262,256,256,0,0,8,8,32,64,0x0,0x7f0f05e7d900,34834,34834,22412,278680,4,5687,7193,0,22924,862681356565045,862687299115298,862687299122178,862681364143136
1,__amd_rocclr_fillBufferAligned.kd,2,0,1,3858262,3858262,256,256,0,0,8,8,32,64,0x0,0x7f0f05e7d900,13486,13486,10448,107896,4,2532,3973,0,10288,862681364023069,862687299122178,862687299129538,862681364369804
2,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 64, 4, 2, 8, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,2,3858262,3858262,14784,32,512,0,44,44,32,64,0x0,0x7f0f05e44e00,30823,30823,26146,246592,462,1986388,142589,0,7958548,862681364581014,862687299578976,862687299590176,862681364687415
3,__amd_rocclr_fillBufferAligned.kd,2,0,4,3858262,3858262,256,256,0,0,8,8,32,64,0x0,0x7f0f05e7d900,37256,37256,22212,298056,4,5373,6865,0,21652,862681369761340,862687305689842,862687305699282,862681369884834
4,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 64, 4, 2, 8, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,5,3858262,3858262,14784,32,512,0,44,44,32,64,0x0,0x7f0f05e44e00,29851,29851,26529,238816,462,2156279,154334,0,8638044,862681369853785,862687305699282,862687305710642,862681370007366
5,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 64, 4, 2, 8, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,8,3858262,3858262,14784,32,512,0,44,44,32,64,0x0,0x7f0f05e44e00,24510,24510,20856,196088,462,1206916,90849,0,4840468,862681369994091,862687305734962,862687305741842,862681370158111
6,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 64, 4, 2, 8, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,9,3858262,3858262,14784,32,512,0,44,44,32,64,0x0,0x7f0f05e44e00,23231,23231,16930,185856,462,884089,67765,0,3549196,862681370141029,862687305741842,862687305746322,862681370258721
7,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 64, 4, 2, 8, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,10,3858262,3858262,14784,32,512,0,44,44,32,64,0x0,0x7f0f05e44e00,21022,21022,17397,168184,462,886022,67521,0,3556964,862681370212313,862687305746322,862687305750802,862681370418213
8,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 64, 4, 2, 8, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,11,3858262,3858262,14784,32,512,0,44,44,32,64,0x0,0x7f0f05e44e00,24901,24901,17529,199216,462,881612,67724,0,3539208,862681370403755,862687305750802,862687305755282,862681370526267
9,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 64, 4, 2, 8, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,12,3858262,3858262,14784,32,512,0,44,44,32,64,0x0,0x7f0f05e44e00,20796,20796,17116,166376,462,892824,68197,0,3584048,862681370479819,862687305755282,862687305760562,862681370673035
10,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 64, 4, 2, 8, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,13,3858262,3858262,14784,32,512,0,44,44,32,64,0x0,0x7f0f05e44e00,22159,22159,16315,177280,462,894057,68380,0,3588996,862681370658788,862687305760562,862687305765042,862681370775308
11,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 64, 4, 2, 8, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,14,3858262,3858262,14784,32,512,0,44,44,32,64,0x0,0x7f0f05e44e00,21268,21268,17716,170152,462,903288,70501,0,3625884,862681370731996,862687305765042,862687305769202,862681370928748
12,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 64, 4, 2, 8, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,15,3858262,3858262,14784,32,512,0,44,44,32,64,0x0,0x7f0f05e44e00,21010,21010,16276,168088,462,884983,67988,0,3552772,862681370913810,862687305813042,862687305817522,862681371020552
13,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 64, 4, 2, 8, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,16,3858262,3858262,14784,32,512,0,44,44,32,64,0x0,0x7f0f05e44e00,20782,20782,17112,166264,462,895568,68410,0,3595100,862681370983983,862687305817522,862687305822162,862681371192497
14,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 64, 4, 2, 8, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,17,3858262,3858262,14784,32,512,0,44,44,32,64,0x0,0x7f0f05e44e00,21711,21711,16799,173696,462,906260,69404,0,3637884,862681371177829,862687305822162,862687305826482,862681371290522
