Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,__amd_rocclr_fillBufferAligned.kd,2,0,0,3370373,3370373,256,256,0,0,8,8,32,64,0x0,0x7f9442bd5900,1,4,468,521704183411128,521701461747656,521701461754856,521704194753251
1,__amd_rocclr_fillBufferAligned.kd,2,0,1,3370373,3370373,256,256,0,0,8,8,32,64,0x0,0x7f9442bd5900,1,3,483,521704194627483,521701461754856,521701461761896,521704195008264
2,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 128, 4, 4, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,2,3370373,3370373,59136,64,512,0,48,48,32,64,0x0,0x7f9442ba4e40,20328,114771,14690882,521704199059570,521701462240613,521701462252773,521704199190317
3,__amd_rocclr_fillBufferAligned.kd,2,0,4,3370373,3370373,256,256,0,0,8,8,32,64,0x0,0x7f9442bd5900,1,3,460,521704278579850,521701468494515,521701468503475,521704278778967
4,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 128, 4, 4, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,5,3370373,3370373,59136,64,512,0,48,48,32,64,0x0,0x7f9442ba4e40,20328,112821,14460580,521704278754701,521701468503475,521701468516275,521704278901619
5,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 128, 4, 4, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,8,3370373,3370373,59136,64,512,0,48,48,32,64,0x0,0x7f9442ba4e40,20328,110336,14129908,521704278920666,521701468542995,521701468551475,521704279073535
6,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 128, 4, 4, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,9,3370373,3370373,59136,64,512,0,48,48,32,64,0x0,0x7f9442ba4e40,20328,112014,14345976,521704279059278,521701468551475,521701468557395,521704279177552
7,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 128, 4, 4, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,10,3370373,3370373,59136,64,512,0,48,48,32,64,0x0,0x7f9442ba4e40,20328,99860,12792152,521704279143677,521701468557395,521701468563475,521704279335691
8,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 128, 4, 4, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,11,3370373,3370373,59136,64,512,0,48,48,32,64,0x0,0x7f9442ba4e40,20328,107320,13733734,521704279322205,521701468563475,521701468569555,521704279445399
9,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 128, 4, 4, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,12,3370373,3370373,59136,64,512,0,48,48,32,64,0x0,0x7f9442ba4e40,20328,98259,12578020,521704279416233,521701468569555,521701468575475,521704279597005
