"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipMalloc",2,210352160,105176080.000000,60.39,3191,210348969,148736926.017760
"hipMemcpy",2,137139127,68569563.500000,39.37,22473,137116654,96940225.046316
"hipLaunchKernel",1,697735,697735.000000,0.2003,697735,697735,0.00000000e+00
"hipDeviceSynchronize",1,57402,57402.000000,0.0165,57402,57402,0.00000000e+00
"__hipRegisterFatBinary",1,21139,21139.000000,6.069e-03,21139,21139,0.00000000e+00
"hipFree",2,11986,5993.000000,3.441e-03,1562,10424,6266.380295
"__hipRegisterFunction",1,10013,10013.000000,2.875e-03,10013,10013,0.00000000e+00
"__hipPushCallConfiguration",1,7869,7869.000000,2.259e-03,7869,7869,0.00000000e+00
"__hipPopCallConfiguration",1,1446,1446.000000,4.152e-04,1446,1446,0.00000000e+00
"hipPeekAtLastError",1,985,985.000000,2.828e-04,985,985,0.00000000e+00
